,precision,recall,f1-score,support
0,0.9332262505736576,0.6384114276744368,0.7581674977862702,12741.0
1,0.1277925028398334,0.5369928400954654,0.20645358617525617,1257.0
accuracy,0.6293041863123303,0.6293041863123303,0.6293041863123303,0.6293041863123303
macro avg,0.5305093767067455,0.5877021338849511,0.4823105419807632,13998.0
weighted avg,0.8608994738268783,0.6293041863123303,0.7086243925644498,13998.0
