threshold,precision,recall,f1_score
0.3,0.0917,0.9912,0.1679
0.35,0.0957,0.9499,0.1739
0.4,0.1026,0.8568,0.1832
0.45,0.1153,0.7224,0.1989
0.5,0.1278,0.537,0.2065
0.55,0.1427,0.3731,0.2065
0.6,0.1766,0.2776,0.2159
0.65,0.2009,0.175,0.1871
0.7,0.2123,0.0907,0.1271
