model,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.6755,0.1408,0.5123,0.2209,0.6432
Random Forest,0.6694,0.1381,0.5115,0.2175,0.6405
Logistic Regression,0.6293,0.1278,0.537,0.2065,0.6275
